Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,225439000,2010
総務費,02,総務管理費,0201,5422971000,2010
総務費,02,徴税費,0202,358341000,2010
総務費,02,戸籍住民基本台帳費,0203,150348000,2010
総務費,02,選挙費,0204,64891000,2010
総務費,02,統計調査費,0205,22046000,2010
総務費,02,監査委員費,0206,30160000,2010
民生費,03,社会福祉費,0301,2453156000,2010
民生費,03,老人福祉費,0302,1638496000,2010
民生費,03,児童福祉費,0303,4016375000,2010
民生費,03,生活保護費,0304,1460233000,2010
民生費,03,災害救助費,0305,405000,2010
衛生費,04,保健衛生費,0401,821534000,2010
衛生費,04,結核対策費,0402,0,2010
衛生費,04,保健所費,0403,0,2010
衛生費,04,清掃費,0404,745909000,2010
労働費,05,失業対策費,0501,0,2010
労働費,05,労働諸費,0502,11698000,2010
農林水産業費,06,農業費,0601,4220312000,2010
農林水産業費,06,畜産業費,0602,402000,2010
農林水産業費,06,農地費,0603,3729000,2010
農林水産業費,06,林業費,0604,176547000,2010
農林水産業費,06,水産業費,0605,1535942000,2010
商工費,07,商工費,0700,412300000,2010
土木費,08,土木管理費,0801,73040000,2010
土木費,08,道路橋りょう費,0802,1098699000,2010
土木費,08,河川費,0803,0,2010
土木費,08,港湾費,0804,410619000,2010
土木費,08,都市計画費,0805,1469061000,2010
土木費,08,住宅費,0806,320578000,2010
土木費,08,空港費,0807,158664000,2010
消防費,09,消防費,0900,831910000,2010
教育費,10,教育総務費,1001,1200433000,2010
教育費,10,小学校費,1002,1526624000,2010
教育費,10,中学校費,1003,682971000,2010
教育費,10,高等学校費,1004,0,2010
教育費,10,特殊学校費,1005,0,2010
教育費,10,幼稚園費,1006,203400000,2010
教育費,10,社会教育費,1007,650821000,2010
教育費,10,保健体育費,1008,411167000,2010
教育費,10,大学費,1009,0,2010
災害復旧費,11,農林水産施設,1101,0,2010
災害復旧費,11,公共土木施設,1102,0,2010
災害復旧費,11,その他,1103,0,2010
公債費,12,公債費,1200,3910102000,2010
諸支出金,13,普通財産取得費,1301,86123000,2010
諸支出金,13,公営企業費,1302,0,2010
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2010
前年度繰上充用金,14,前年度繰上充用金,1400,0,2010
