Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,269151000,2012
総務費,02,総務管理費,0201,6056269000,2012
総務費,02,徴税費,0202,351960000,2012
総務費,02,戸籍住民基本台帳費,0203,154684000,2012
総務費,02,選挙費,0204,55594000,2012
総務費,02,統計調査費,0205,2514000,2012
総務費,02,監査委員費,0206,27891000,2012
民生費,03,社会福祉費,0301,2807119000,2012
民生費,03,老人福祉費,0302,1721600000,2012
民生費,03,児童福祉費,0303,3734383000,2012
民生費,03,生活保護費,0304,1638839000,2012
民生費,03,災害救助費,0305,2255000,2012
衛生費,04,保健衛生費,0401,681461000,2012
衛生費,04,結核対策費,0402,0,2012
衛生費,04,保健所費,0403,0,2012
衛生費,04,清掃費,0404,1039123000,2012
労働費,05,失業対策費,0501,0,2012
労働費,05,労働諸費,0502,20491000,2012
農林水産業費,06,農業費,0601,4388002000,2012
農林水産業費,06,畜産業費,0602,4211000,2012
農林水産業費,06,農地費,0603,13999000,2012
農林水産業費,06,林業費,0604,167330000,2012
農林水産業費,06,水産業費,0605,298577000,2012
商工費,07,商工費,0700,658065000,2012
土木費,08,土木管理費,0801,165992000,2012
土木費,08,道路橋りょう費,0802,622253000,2012
土木費,08,河川費,0803,0,2012
土木費,08,港湾費,0804,327858000,2012
土木費,08,都市計画費,0805,1724844000,2012
土木費,08,住宅費,0806,202933000,2012
土木費,08,空港費,0807,146423000,2012
消防費,09,消防費,0900,877940000,2012
教育費,10,教育総務費,1001,423720000,2012
教育費,10,小学校費,1002,621774000,2012
教育費,10,中学校費,1003,938342000,2012
教育費,10,高等学校費,1004,0,2012
教育費,10,特殊学校費,1005,0,2012
教育費,10,幼稚園費,1006,168671000,2012
教育費,10,社会教育費,1007,738624000,2012
教育費,10,保健体育費,1008,411263000,2012
教育費,10,大学費,1009,0,2012
災害復旧費,11,農林水産施設,1101,2149000,2012
災害復旧費,11,公共土木施設,1102,23295000,2012
災害復旧費,11,その他,1103,18286000,2012
公債費,12,公債費,1200,4005610000,2012
諸支出金,13,普通財産取得費,1301,97568000,2012
諸支出金,13,公営企業費,1302,0,2012
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2012
前年度繰上充用金,14,前年度繰上充用金,1400,0,2012
